from_keyword_id,from_name,to_keyword_id,to_name,trip_count,sellable,status_code
5,Bangkok,2350,Khao Phanom,0,False,error
5,Bangkok,2364,Plai Phraya,0,False,error
5,Bangkok,2378,Ao Luek,0,False,error
5,Bangkok,2385,Dan Chedi Sam Ong,0,False,error
5,Bangkok,2392,Sangkhlaburi,0,False,error
5,Bangkok,2441,Pak Chong,0,False,error
5,Bangkok,2574,Bang Mun Nak,0,False,error
5,Bangkok,2854,Wang Phikun,0,False,error
5,Bangkok,2861,Phaisali,0,False,error
5,Bangkok,2882,Dan Khun Thot Air Chaiyaphum,0,False,error
5,Bangkok,2910,Ban Phai Bus Terminal,0,False,error
5,Bangkok,2924,Nong Ruea,0,False,error
5,Bangkok,2931,Chiang Yuen,0,False,error
5,Bangkok,2945,Sikhio,0,False,error
5,Bangkok,2987,Klaeng,0,False,error
5,Bangkok,2994,Nong Yai Junction,0,False,error
5,Bangkok,3022,"Watthana Nakhon ",0,False,error
5,Bangkok,3029,"Ban Kaeng ",0,False,error
5,Bangkok,3043,"Prachin Buri Intersection",0,False,error
5,Bangkok,3099,"Budsarakam Tour Office",0,False,error
5,Bangkok,3127,Van &amp; Mini Bus Stop Rangsit (Future Park Rangsit),0,False,error
5,Bangkok,3148,"Dan Khun Thot ",0,False,error
5,Bangkok,3169,"Non Daeng ",0,False,error
5,Bangkok,3176,"Prathai ",0,False,error
5,Bangkok,3183,"Nong Bua Khok ",0,False,error
5,Bangkok,3190,Chatturat (Near dynasty shop),0,False,error
5,Bangkok,3197,Lahan ( Police Service Point),0,False,error
5,Bangkok,3211,Ban Khai,0,False,error
5,Bangkok,3218,Air Chaiyaphum Office Phromwat Wihan Road,0,False,error
5,Bangkok,3225,"Ban Han ",0,False,error
5,Bangkok,3232,Kaeng Khro,0,False,error
5,Bangkok,3239,"Nong Waeng ",0,False,error
5,Bangkok,3246,"Phu Khiao ",0,False,error
5,Bangkok,3260,"Kaset Sombun ",0,False,error
5,Bangkok,3267,"Ban Pao ",0,False,error
5,Bangkok,3281,Sunbus Company Office,0,False,error
5,Bangkok,3288,Ban Praeng School,0,False,error
5,Bangkok,3295,Tian Chai Air Office Chaiyaphum Intersection Non Hi ,0,False,error
5,Bangkok,3302,"Thep Sathit ",0,False,error
5,Bangkok,3309,"Sap Yai ",0,False,error
5,Bangkok,3316,"Nong Bua Rawe ",0,False,error
5,Bangkok,3323,"Ban Khwao ",0,False,error
